hora_utc,estacion,mm
2026-09-20 21:00,chaihuin,0.0
2026-09-20 21:00,corral,0.0
2026-09-20 21:00,corral_essal,0.2
2026-09-20 21:00,curinanco,0.0
2026-09-20 21:00,islateja,0.0
2026-09-20 21:00,llancahue,0.0
2026-09-20 21:00,pichoy,0.0
2026-09-20 22:00,chaihuin,0.1
2026-09-20 22:00,corral,0.0
2026-09-20 22:00,corral_essal,0.0
2026-09-20 22:00,curinanco,0.0
2026-09-20 22:00,islateja,0.0
2026-09-20 22:00,llancahue,0.2
2026-09-20 22:00,pichoy,0.0
2026-09-20 23:00,chaihuin,0.0
2026-09-20 23:00,corral,0.1
2026-09-20 23:00,corral_essal,0.0
2026-09-20 23:00,curinanco,0.0
2026-09-20 23:00,islateja,0.0
2026-09-20 23:00,llancahue,0.0
2026-09-20 23:00,pichoy,0.0
2026-09-21 00:00,chaihuin,0.1
2026-09-21 00:00,corral,0.0
2026-09-21 00:00,corral_essal,1.0
2026-09-21 00:00,curinanco,0.0
2026-09-21 00:00,islateja,0.0
2026-09-21 00:00,llancahue,0.1
2026-09-21 00:00,pichoy,0.0
2026-09-21 01:00,chaihuin,0.0
2026-09-21 01:00,corral,0.0
2026-09-21 01:00,corral_essal,0.3
2026-09-21 01:00,curinanco,0.0
2026-09-21 01:00,islateja,0.0
2026-09-21 01:00,llancahue,0.0
2026-09-21 01:00,pichoy,0.0
2026-09-21 02:00,chaihuin,0.1
2026-09-21 02:00,corral,0.1
2026-09-21 02:00,corral_essal,0.0
2026-09-21 02:00,curinanco,0.0
2026-09-21 02:00,islateja,0.4
2026-09-21 02:00,llancahue,0.1
2026-09-21 02:00,pichoy,0.4
2026-09-21 03:00,corral,0.0
2026-09-21 03:00,corral_essal,0.1
2026-09-21 03:00,curinanco,0.2
2026-09-21 03:00,islateja,0.0
2026-09-21 03:00,llancahue,0.0
2026-09-21 03:00,pichoy,0.8
2026-09-21 04:00,chaihuin,0.6
2026-09-21 04:00,corral,0.8
2026-09-21 04:00,corral_essal,0.0
2026-09-21 04:00,curinanco,0.0
2026-09-21 04:00,islateja,0.6
2026-09-21 04:00,llancahue,0.2
2026-09-21 04:00,pichoy,0.2
2026-09-21 05:00,austral,0.2
2026-09-21 05:00,chaihuin,0.5
2026-09-21 05:00,corral,0.3
2026-09-21 05:00,corral_essal,0.1
2026-09-21 05:00,curinanco,0.0
2026-09-21 05:00,islateja,0.0
2026-09-21 05:00,las_lomas,0.2
2026-09-21 05:00,llancahue,0.0
2026-09-21 05:00,pichoy,0.2
2026-09-21 06:00,austral,0.0
2026-09-21 06:00,chaihuin,0.0
2026-09-21 06:00,corral,0.0
2026-09-21 06:00,corral_essal,0.0
2026-09-21 06:00,curinanco,0.4
2026-09-21 06:00,islateja,0.1
2026-09-21 06:00,las_lomas,0.0
2026-09-21 06:00,llancahue,0.0
2026-09-21 06:00,pichoy,0.0
2026-09-21 07:00,austral,0.0
2026-09-21 07:00,chaihuin,0.0
2026-09-21 07:00,corral,0.0
2026-09-21 07:00,corral_essal,0.2
2026-09-21 07:00,curinanco,1.3
2026-09-21 07:00,islateja,0.0
2026-09-21 07:00,las_lomas,0.1
2026-09-21 07:00,llancahue,0.4
2026-09-21 07:00,pichoy,0.0
2026-09-21 08:00,austral,0.0
2026-09-21 08:00,chaihuin,0.0
2026-09-21 08:00,corral,0.0
2026-09-21 08:00,corral_essal,0.0
2026-09-21 08:00,curinanco,0.0
2026-09-21 08:00,islateja,0.0
2026-09-21 08:00,las_lomas,0.0
2026-09-21 08:00,llancahue,0.0
2026-09-21 08:00,pichoy,0.4
2026-09-21 09:00,austral,0.0
2026-09-21 09:00,chaihuin,0.0
2026-09-21 09:00,corral,0.2
2026-09-21 09:00,corral_essal,0.9
2026-09-21 09:00,curinanco,0.1
2026-09-21 09:00,islateja,0.0
2026-09-21 09:00,las_lomas,0.0
2026-09-21 09:00,llancahue,0.0
2026-09-21 09:00,pichoy,0.0
2026-09-21 10:00,austral,0.0
2026-09-21 10:00,chaihuin,0.0
2026-09-21 10:00,corral,0.0
2026-09-21 10:00,corral_essal,0.0
2026-09-21 10:00,curinanco,0.3
2026-09-21 10:00,islateja,0.0
2026-09-21 10:00,las_lomas,0.0
2026-09-21 10:00,llancahue,0.1
2026-09-21 10:00,pichoy,0.0
2026-09-21 11:00,austral,0.1
2026-09-21 11:00,chaihuin,0.1
2026-09-21 11:00,corral,0.2
2026-09-21 11:00,corral_essal,0.0
2026-09-21 11:00,curinanco,2.8
2026-09-21 11:00,islateja,0.0
2026-09-21 11:00,las_lomas,0.0
2026-09-21 11:00,llancahue,0.0
2026-09-21 11:00,pichoy,0.2
2026-09-21 12:00,austral,0.0
